1 32 0.10392536482213438065s
10 277 0.23972553122529643987s
100 2465 0.46860055177865611586s
1000 21147 2.18667506916996057242s
10000 179519 23.50415676561264888278s
20000 339112 37.49345293162055270386s
30000 490724 53.52268943992094563100s
40000 638689 86.57970545059288269840s
50000 782674 105.40827506166007765387s
60000 921031 81.50355914071145946309s
70000 1058396 94.46149060474307646018s
80000 1196521 187.75202436403162664647s
90000 1332840 141.88780926166006679523s
100000 1465401 186.20167191699604813948s
