10000000 90000000 73239928 3.35786590000000018108s
20000000 160000000 126892428 5.92474425770751000897s
30000000 210000000 174588230 8.11935102608695657977s
40000000 280000000 215220231 10.15160214940711469467s
50000000 300000000 254120376 12.14143727549407181243s
60000000 360000000 291881984 13.61184020513833914379s
70000000 420000000 325576185 15.62593255177865536609s
80000000 480000000 354571335 17.03102645098814349467s
90000000 450000000 382923417 18.40333336166007782708s
100000000 500000000 414812834 20.44150673162055298349s
200000000 800000000 649800246 36.09448329644268937955s
